stimmbezirk,adresse,stadt,waehler,stimmen,ungueltig,gueltig,spd,spd_rel,cdu,cdu_rel,gruene,gruene_rel,linke,linke_rel,wfw,wfw_rel,sonstige,sonstige_rel
215,Kurfürstenstr. 13,Wuppertal,1116,348,0,348,121,34.8,136,39.1,53,15.2,14,4,8,2.3,16,4.6
216,Remscheider Str. 50,Wuppertal,1230,400,4,396,152,38.4,156,39.4,48,12.1,16,4,12,3,12,3
217,Schenkstr. 133,Wuppertal,1267,421,4,417,130,31.2,197,47.2,49,11.8,21,5,7,1.7,13,3.1
218,Schenkstr. 135,Wuppertal,1228,411,5,406,144,35.5,157,38.7,56,13.8,26,6.4,6,1.5,17,4.2
219,Echoer Str. 46,Wuppertal,1222,445,0,445,136,30.6,205,46.1,54,12.1,20,4.5,8,1.8,22,5
220,Echoer Str. 46,Wuppertal,1035,445,6,439,159,36.2,187,42.6,59,13.4,17,3.9,6,1.4,11,2.5
221,An der Blutfinke 70,Wuppertal,1307,518,0,518,156,30.1,223,43,83,16,20,3.9,15,2.9,21,4
222,Herbringhausen 73,Wuppertal,235,95,2,93,14,15.1,65,69.9,7,7.5,1,1.1,3,3.2,3,3.2
40101,Briefwahlraum 40101,Wuppertal,0,680,2,678,274,40.4,219,32.3,78,11.5,61,9,20,3,26,3.8
40202,Briefwahlraum 40202,Wuppertal,0,516,1,515,202,39.2,131,25.4,84,16.3,51,9.9,14,2.7,33,6.4
40303,Briefwahlraum 40303,Wuppertal,0,301,0,301,113,37.5,95,31.6,38,12.6,39,13,4,1.3,12,4
40404,Briefwahlraum 40404,Wuppertal,0,400,5,395,166,42,129,32.7,45,11.4,30,7.6,3,0.8,22,5.6
40505,Briefwahlraum 40505,Wuppertal,0,530,6,524,149,28.4,247,47.1,69,13.2,25,4.8,17,3.2,17,3.2
40605,Briefwahlraum 40605,Wuppertal,0,514,8,506,173,34.2,229,45.3,47,9.3,30,5.9,14,2.8,13,2.6
40706,Briefwahlraum 40706,Wuppertal,0,564,0,564,212,37.6,227,40.2,46,8.2,40,7.1,10,1.8,29,5.1
40811,Briefwahlraum 40811,Wuppertal,0,673,3,670,211,31.5,288,43,72,10.8,51,7.6,17,2.5,31,4.6
40912,Briefwahlraum 40912,Wuppertal,0,542,4,538,215,40,206,38.3,49,9.1,31,5.8,17,3.2,20,3.7
41013,Briefwahlraum 41013,Wuppertal,0,689,5,684,238,34.8,291,42.5,75,11,27,4,32,4.7,21,3.1
41121,Briefwahlraum 41121,Wuppertal,0,815,4,811,235,29,422,52,80,9.9,28,3.5,22,2.7,24,3
41221,Briefwahlraum 41221,Wuppertal,0,458,1,457,164,35.9,230,50.3,30,6.6,17,3.7,6,1.3,10,2.2
41322,Briefwahlraum 41322,Wuppertal,0,396,1,395,175,44.3,152,38.5,35,8.9,10,2.5,12,3,11,2.8
41422,Briefwahlraum 41422,Wuppertal,0,592,3,589,198,33.6,283,48,62,10.5,21,3.6,13,2.2,12,2
41523,Briefwahlraum 41523,Wuppertal,0,790,6,784,275,35.1,367,46.8,72,9.2,19,2.4,31,4,20,2.6
41623,Briefwahlraum 41623,Wuppertal,0,715,4,711,228,32.1,313,44,77,10.8,36,5.1,26,3.7,31,4.4
41731,Briefwahlraum 41731,Wuppertal,0,646,8,638,262,41.1,244,38.2,58,9.1,32,5,22,3.5,20,3.1
41832,Briefwahlraum 41832,Wuppertal,0,541,4,537,201,37.4,253,47.1,40,7.5,14,2.6,18,3.4,11,2.1
41933,Briefwahlraum 41933,Wuppertal,0,637,7,630,251,39.8,242,38.4,72,11.4,31,4.9,19,3,15,2.4
42041,Briefwahlraum 42041,Wuppertal,0,501,4,497,163,32.8,229,46.1,55,11.1,19,3.8,16,3.2,15,3
42141,Briefwahlraum 42141,Wuppertal,0,540,7,533,179,33.6,246,46.1,43,8.1,30,5.6,21,3.9,14,2.6
42242,Briefwahlraum 42242,Wuppertal,0,778,2,776,263,33.9,354,45.6,83,10.7,33,4.2,24,3.1,19,2.5
42351,Briefwahlraum 42351,Wuppertal,0,590,2,588,198,33.7,267,45.4,50,8.5,29,4.9,19,3.2,25,4.3
